robot,corridor_id,rollout_mode,solve_index,horizon_step,global_step,ref_index,ref_x,ref_y,ref_z,ref_theta,pred_x,pred_y,pred_z,pred_theta,executed_x,executed_y,executed_z,executed_theta,v_cmd,omega_cmd,first_control_applied,critical_point_target,critical_point_distance,critical_sequence_state,topology_sequence_valid,critical_point_status,current_topology_stage,corridor_override,manifold_override,corridor_safety_override,manifold_safety_override,phase,task_state,state_transition,task_cost,task_optimization_cost,risk_weight,tracking_weight,smoothness_weight,task_weight,tracking_error,control_norm,control_delta,risk_value,risk_query_valid,risk_query_source,risk_exceeded,safety_violation,constraint_violation,topology_class,distance_to_corridor,corridor_violation,corridor_constraint_status,distance_to_manifold,manifold_clearance,minimum_clearance,clearance_threshold,actual_clearance,progress,boundary_distance,manifold_violation,manifold_constraint_status,manifold_constraint_mode,risk_constraint_violation,soft_constraint_used,minor_violation,major_violation,clearance_constraint_violation,nearest_critical_point,critical_point_constraint_status,topology_class_constraint_status,topology_consistency_cost,corridor_cost,manifold_cost,step_cost,feasibility_status
arm,arm_c0001,rolling_window,1,0,1,1,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.26082936686519104,-0.0016408106481501667,0.3640188982983698,0.3640188982983698,0.26082936686519104,-0.0016408106481501667,0.3640188982983698,,,,True,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.0056354500991018935,0.0056354500991018935,1.8,1.0,0.2,1.0,0.4841562848238852,0.10000000000000007,0.10000000000000007,1.4000416763768437,1,social_field_phi,0,0.0,4.841562848238851,left_bypass,0.07506963500045737,0.0,feasible,-0.1796874095846485,0.16966041650230804,0.3493478260869565,0.3493478260869565,0.16966041650230804,0.004347826086956522,0.16966041650230804,0.1796874095846485,soft_violation,soft,0.0,True,True,False,0.1796874095846485,,feasible,feasible,0.0,0.0,0.03228756516324122,237.49893701191039,feasible_with_soft_violation
arm,arm_c0001,rolling_window,1,1,1,2,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.2552408420427846,-0.003412334419799435,0.35494861198338346,0.35494861198338346,0.26082936686519104,-0.0016408106481501667,0.3640188982983698,,,,False,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.005034376206131942,0.005034376206131942,1.8,1.0,0.2,1.0,0.4733562848238852,0.108,0.007999999999999926,1.4048337577680494,1,social_field_phi,0,0.0,4.733562848238852,left_bypass,0.07095333823106523,0.0,feasible,-0.18593982978831822,0.1627558223855948,0.348695652173913,0.348695652173913,0.1627558223855948,0.008695652173913044,0.1627558223855948,0.18593982978831822,soft_violation,soft,0.0,True,True,False,0.18593982978831822,,feasible,feasible,0.0,0.0,0.03457362030170875,227.17592347406523,feasible_with_soft_violation
arm,arm_c0001,rolling_window,1,2,1,3,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.24965231722037812,-0.005183858191448704,0.3458783256683971,0.3458783256683971,0.26082936686519104,-0.0016408106481501667,0.3640188982983698,,,,False,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.0046665823131619875,0.0046665823131619875,1.8,1.0,0.2,1.0,0.4625562848238851,0.108,0.0,1.4094665798948198,1,social_field_phi,0,0.0,4.625562848238852,left_bypass,0.06831238769917201,0.0,feasible,-0.1917503609681176,0.15629311729275197,0.34804347826086957,0.34804347826086957,0.15629311729275197,0.013043478260869565,0.15629311729275197,0.1917503609681176,soft_violation,soft,0.0,True,True,False,0.1917503609681176,,feasible,feasible,0.0,0.0,0.03676820093140339,217.08749636445629,feasible_with_soft_violation
arm,arm_c0001,rolling_window,1,3,1,4,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.24406379239797166,-0.006955381963097972,0.33680803935341075,0.33680803935341075,0.26082936686519104,-0.0016408106481501667,0.3640188982983698,,,,False,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.004532068420192037,0.004532068420192037,1.8,1.0,0.2,1.0,0.45175628482388513,0.108,0.0,1.4137672034033917,1,social_field_phi,0,0.0,4.5175628482388515,left_bypass,0.06732063888728357,0.0,feasible,-0.19706200146325678,0.15032930288456928,0.34739130434782606,0.34739130434782606,0.15032930288456928,0.017391304347826087,0.15032930288456928,0.19706200146325678,soft_violation,soft,0.0,True,True,False,0.19706200146325678,,feasible,feasible,0.0,0.0,0.03883343242070462,207.23117044593064,feasible_with_soft_violation
arm,arm_c0001,rolling_window,1,4,1,5,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.2384752675755652,-0.00872690573474724,0.3277377530384244,0.3277377530384244,0.26082936686519104,-0.0016408106481501667,0.3640188982983698,,,,False,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.004630834527222084,0.004630834527222084,1.8,1.0,0.2,1.0,0.4409562848238851,0.108,0.0,1.417585555999323,1,social_field_phi,0,0.0,4.409562848238852,left_bypass,0.06805023532084283,0.0,feasible,-0.20181314898757896,0.14492598144720364,0.3467391304347826,0.3467391304347826,0.14492598144720364,0.021739130434782608,0.14492598144720364,0.20181314898757896,soft_violation,soft,0.0,True,True,False,0.20181314898757896,,feasible,feasible,0.0,0.0,0.040728547104282746,197.6062551117051,feasible_with_soft_violation
arm,arm_c0001,rolling_window,1,5,1,6,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.23288674275315874,-0.01049842950639651,0.31866746672343804,0.31866746672343804,0.26082936686519104,-0.0016408106481501667,0.3640188982983698,,,,False,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.0049628806342521346,0.0049628806342521346,1.8,1.0,0.2,1.0,0.4301562848238851,0.108,6.938893903907228e-18,1.4208581712842918,1,social_field_phi,0,0.0,4.301562848238851,left_bypass,0.0704477156070524,0.0,feasible,-0.20593896013538382,0.14014799638635528,0.3460869565217391,0.3460869565217391,0.14014799638635528,0.02608695652173913,0.14014799638635528,0.20593896013538382,soft_violation,soft,0.0,True,True,False,0.20593896013538382,,feasible,feasible,0.0,0.0,0.04241085530164321,188.2122092254575,feasible_with_soft_violation
arm,arm_c0001,rolling_window,1,6,1,7,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.22729821793075228,-0.01226995327804578,0.3095971804084517,0.3095971804084517,0.26082936686519104,-0.0016408106481501667,0.3640188982983698,,,,False,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.005528206741282183,0.005528206741282183,1.8,1.0,0.2,1.0,0.41935628482388504,0.108,0.0,1.4235454824781306,1,social_field_phi,0,0.0,4.193562848238852,left_bypass,0.07435191148371495,0.0,feasible,-0.20937354020739865,0.136061242401297,0.34543478260869565,0.34543478260869565,0.136061242401297,0.030434782608695653,0.136061242401297,0.20937354020739865,soft_violation,soft,0.0,True,True,False,0.20937354020739865,,feasible,feasible,0.0,0.0,0.04383727933897918,179.04853079024576,feasible_with_soft_violation
arm,arm_c0001,rolling_window,1,7,1,8,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.22170969310834582,-0.014041477049695049,0.30052689409346534,0.30052689409346534,0.26082936686519104,-0.0016408106481501667,0.3640188982983698,,,,False,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.006326812848312233,0.006326812848312233,1.8,1.0,0.2,1.0,0.40855628482388506,0.108,7.757919228897728e-18,1.4256317158048466,1,social_field_phi,0,0.0,4.08556284823885,left_bypass,0.07954126506607896,0.0,feasible,-0.2120530246668489,0.13272958402880325,0.34478260869565214,0.34478260869565214,0.13272958402880325,0.034782608695652174,0.13272958402880325,0.2120530246668489,soft_violation,soft,0.0,True,True,False,0.2120530246668489,,feasible,feasible,0.0,0.0,0.04496648527035922,170.11477807381345,feasible_with_soft_violation
arm,arm_c0001,rolling_window,1,8,1,9,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.22177567186146702,-0.01474700278755048,0.2920325414303497,0.2920325414303497,0.26082936686519104,-0.0016408106481501667,0.3640188982983698,,,,False,,0.0,GOAL,False,passed,1,True,True,True,True,approach,approach,handover->approach,0.006399999999999996,0.006399999999999996,1.8,1.0,0.2,1.0,0.4013664443190065,0.108,7.757919228897728e-18,1.4467310264194104,1,social_field_phi,0,0.0,3.977562848238851,left_bypass,0.07999999999999997,0.0,feasible,-0.21667872823261833,0.12745170654999036,0.3441304347826087,0.3441304347826087,0.12745170654999036,0.0391304347826087,0.12745170654999036,0.21667872823261833,soft_violation,soft,0.0,True,True,False,0.21667872823261833,,feasible,feasible,0.0,0.0,0.04694967126850487,161.45873609976488,feasible_with_soft_violation
arm,arm_c0001,rolling_window,1,9,1,10,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.2230097669737264,-0.01516714277992988,0.28442881512365503,0.28442881512365503,0.26082936686519104,-0.0016408106481501667,0.3640188982983698,,,,False,,0.0,GOAL,False,passed,1,True,True,True,True,approach,approach,handover->approach,0.0064,0.0064,1.8,1.0,0.2,1.0,0.39564117783894176,0.10799999999999996,0.0012210885588806635,1.4701232558624056,1,social_field_phi,0,0.0,3.9056644431900653,left_bypass,0.08,0.0,feasible,-0.22108432707663922,0.12239393379292596,0.3434782608695652,0.3434782608695652,0.12239393379292596,0.043478260869565216,0.12239393379292596,0.22108432707663922,soft_violation,soft,0.0,True,True,False,0.22108432707663922,,feasible,feasible,0.0,0.0,0.04887827967893039,155.84765072514654,feasible_with_soft_violation
arm,arm_c0001,rolling_window,2,0,2,2,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.2552408420427846,-0.003412334419799435,0.35494861198338346,0.35494861198338346,0.2552408420427846,-0.003412334419799435,0.35494861198338346,,,,True,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.005034376206131942,0.005034376206131942,1.8,1.0,0.2,1.0,0.4733562848238852,0.108,0.007999999999999926,1.4048337577680494,1,social_field_phi,0,0.0,4.733562848238852,left_bypass,0.07095333823106523,0.0,feasible,-0.18593982978831822,0.1627558223855948,0.348695652173913,0.348695652173913,0.1627558223855948,0.008695652173913044,0.1627558223855948,0.18593982978831822,soft_violation,soft,0.0,True,True,False,0.18593982978831822,,feasible,feasible,0.0,0.0,0.03457362030170875,227.17592347406523,feasible_with_soft_violation
arm,arm_c0001,rolling_window,2,1,2,3,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.24965231722037812,-0.005183858191448704,0.3458783256683971,0.3458783256683971,0.2552408420427846,-0.003412334419799435,0.35494861198338346,,,,False,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.0046665823131619875,0.0046665823131619875,1.8,1.0,0.2,1.0,0.4625562848238851,0.108,0.0,1.4094665798948198,1,social_field_phi,0,0.0,4.625562848238852,left_bypass,0.06831238769917201,0.0,feasible,-0.1917503609681176,0.15629311729275197,0.34804347826086957,0.34804347826086957,0.15629311729275197,0.013043478260869565,0.15629311729275197,0.1917503609681176,soft_violation,soft,0.0,True,True,False,0.1917503609681176,,feasible,feasible,0.0,0.0,0.03676820093140339,217.08749636445629,feasible_with_soft_violation
arm,arm_c0001,rolling_window,2,2,2,4,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.24406379239797166,-0.006955381963097972,0.33680803935341075,0.33680803935341075,0.2552408420427846,-0.003412334419799435,0.35494861198338346,,,,False,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.004532068420192037,0.004532068420192037,1.8,1.0,0.2,1.0,0.45175628482388513,0.108,0.0,1.4137672034033917,1,social_field_phi,0,0.0,4.5175628482388515,left_bypass,0.06732063888728357,0.0,feasible,-0.19706200146325678,0.15032930288456928,0.34739130434782606,0.34739130434782606,0.15032930288456928,0.017391304347826087,0.15032930288456928,0.19706200146325678,soft_violation,soft,0.0,True,True,False,0.19706200146325678,,feasible,feasible,0.0,0.0,0.03883343242070462,207.23117044593064,feasible_with_soft_violation
arm,arm_c0001,rolling_window,2,3,2,5,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.2384752675755652,-0.00872690573474724,0.3277377530384244,0.3277377530384244,0.2552408420427846,-0.003412334419799435,0.35494861198338346,,,,False,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.004630834527222084,0.004630834527222084,1.8,1.0,0.2,1.0,0.4409562848238851,0.108,0.0,1.417585555999323,1,social_field_phi,0,0.0,4.409562848238852,left_bypass,0.06805023532084283,0.0,feasible,-0.20181314898757896,0.14492598144720364,0.3467391304347826,0.3467391304347826,0.14492598144720364,0.021739130434782608,0.14492598144720364,0.20181314898757896,soft_violation,soft,0.0,True,True,False,0.20181314898757896,,feasible,feasible,0.0,0.0,0.040728547104282746,197.6062551117051,feasible_with_soft_violation
arm,arm_c0001,rolling_window,2,4,2,6,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.23288674275315874,-0.01049842950639651,0.31866746672343804,0.31866746672343804,0.2552408420427846,-0.003412334419799435,0.35494861198338346,,,,False,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.0049628806342521346,0.0049628806342521346,1.8,1.0,0.2,1.0,0.4301562848238851,0.108,6.938893903907228e-18,1.4208581712842918,1,social_field_phi,0,0.0,4.301562848238851,left_bypass,0.0704477156070524,0.0,feasible,-0.20593896013538382,0.14014799638635528,0.3460869565217391,0.3460869565217391,0.14014799638635528,0.02608695652173913,0.14014799638635528,0.20593896013538382,soft_violation,soft,0.0,True,True,False,0.20593896013538382,,feasible,feasible,0.0,0.0,0.04241085530164321,188.2122092254575,feasible_with_soft_violation
arm,arm_c0001,rolling_window,2,5,2,7,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.22729821793075228,-0.01226995327804578,0.3095971804084517,0.3095971804084517,0.2552408420427846,-0.003412334419799435,0.35494861198338346,,,,False,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.005528206741282183,0.005528206741282183,1.8,1.0,0.2,1.0,0.41935628482388504,0.108,0.0,1.4235454824781306,1,social_field_phi,0,0.0,4.193562848238852,left_bypass,0.07435191148371495,0.0,feasible,-0.20937354020739865,0.136061242401297,0.34543478260869565,0.34543478260869565,0.136061242401297,0.030434782608695653,0.136061242401297,0.20937354020739865,soft_violation,soft,0.0,True,True,False,0.20937354020739865,,feasible,feasible,0.0,0.0,0.04383727933897918,179.04853079024576,feasible_with_soft_violation
arm,arm_c0001,rolling_window,2,6,2,8,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.22170969310834582,-0.014041477049695049,0.30052689409346534,0.30052689409346534,0.2552408420427846,-0.003412334419799435,0.35494861198338346,,,,False,,0.0,GOAL,False,passed,1,False,True,False,True,approach,approach,handover->approach,0.006326812848312233,0.006326812848312233,1.8,1.0,0.2,1.0,0.40855628482388506,0.108,7.757919228897728e-18,1.4256317158048466,1,social_field_phi,0,0.0,4.08556284823885,left_bypass,0.07954126506607896,0.0,feasible,-0.2120530246668489,0.13272958402880325,0.34478260869565214,0.34478260869565214,0.13272958402880325,0.034782608695652174,0.13272958402880325,0.2120530246668489,soft_violation,soft,0.0,True,True,False,0.2120530246668489,,feasible,feasible,0.0,0.0,0.04496648527035922,170.11477807381345,feasible_with_soft_violation
arm,arm_c0001,rolling_window,2,7,2,9,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.22177567186146702,-0.01474700278755048,0.2920325414303497,0.2920325414303497,0.2552408420427846,-0.003412334419799435,0.35494861198338346,,,,False,,0.0,GOAL,False,passed,1,True,True,True,True,approach,approach,handover->approach,0.006399999999999996,0.006399999999999996,1.8,1.0,0.2,1.0,0.4013664443190065,0.108,7.757919228897728e-18,1.4467310264194104,1,social_field_phi,0,0.0,3.977562848238851,left_bypass,0.07999999999999997,0.0,feasible,-0.21667872823261833,0.12745170654999036,0.3441304347826087,0.3441304347826087,0.12745170654999036,0.0391304347826087,0.12745170654999036,0.21667872823261833,soft_violation,soft,0.0,True,True,False,0.21667872823261833,,feasible,feasible,0.0,0.0,0.04694967126850487,161.45873609976488,feasible_with_soft_violation
arm,arm_c0001,rolling_window,2,8,2,10,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.2230097669737264,-0.01516714277992988,0.28442881512365503,0.28442881512365503,0.2552408420427846,-0.003412334419799435,0.35494861198338346,,,,False,,0.0,GOAL,False,passed,1,True,True,True,True,approach,approach,handover->approach,0.0064,0.0064,1.8,1.0,0.2,1.0,0.39564117783894176,0.10799999999999996,0.0012210885588806635,1.4701232558624056,1,social_field_phi,0,0.0,3.9056644431900653,left_bypass,0.08,0.0,feasible,-0.22108432707663922,0.12239393379292596,0.3434782608695652,0.3434782608695652,0.12239393379292596,0.043478260869565216,0.12239393379292596,0.22108432707663922,soft_violation,soft,0.0,True,True,False,0.22108432707663922,,feasible,feasible,0.0,0.0,0.04887827967893039,155.84765072514654,feasible_with_soft_violation
arm,arm_c0001,rolling_window,2,9,2,11,0.01029979134089759,-0.08105695581101197,-0.04259555767873344,-0.04259555767873344,0.22472681817554563,-0.015424137382558514,0.27772795285505625,0.27772795285505625,0.2552408420427846,-0.003412334419799435,0.35494861198338346,,,,False,,0.0,GOAL,False,passed,1,True,True,True,True,approach,approach,handover->approach,0.006400000000000003,0.006400000000000003,1.8,1.0,0.2,1.0,0.3910163271433817,0.10799999999999996,0.0014014021055610486,1.4933590375413945,1,social_field_phi,0,0.0,3.848411778389418,left_bypass,0.08000000000000002,1.3877787807814457e-17,soft_violation,-0.2249986375275045,0.11782744942901721,0.3428260869565217,0.3428260869565217,0.11782744942901721,0.04782608695652174,0.11782744942901721,0.2249986375275045,soft_violation,soft,0.0,True,True,False,0.2249986375275045,,feasible,feasible,0.0,1.925929944387236e-34,0.05062438688923336,151.46388285780915,feasible_with_soft_violation
